Food,Scientific,Group,SubGroup
Beaver,Castor canadensis,meat,Rodents
Bison,Bison bison,meat,Bovines
Paddy, no, no, no
bear,Ursus americanus,meat,Other mammals
boar,Sus scrofa,meat,Swine
Buffalo,Bubalus bubalis,meat,Bovines
Caribou,Rangifer tarandus,meat,Venison
Chicken,Gallus gallus,meat,Poultry
deer,Odocoileus,meat,Venison
duck,Anas platyrhynchos,meat,Poultry
Elk,Cervus canadensis,meat,Venison
Emu,Dromaius novaehollandiae,meat,Poultry
goose,Anser anser,meat,Poultry
hen,Numida meleagris,meat,Poultry
Horse,Equus caballus,meat,Equines
Moose,Alces alces,meat,Venison
Muskrat,Ondatra zibethicus,meat,Rodents
Opossum,Didelphis virginiana,meat,Marsupials
Ostrich,Struthio camelus,meat,Poultry
duck,Melanitta fusca,meat,Poultry
Pheasant,Phasianus colchicus,meat,Poultry
bear,Ursus maritimus,meat,Other mammals
rabbit,Oryctolagus,meat,Lagomorphs
Raccoon,Procyon lotor,meat,Other mammals
Sheep,Ovis aries,meat,Ovis
Squab,Columba,meat,Poultry
Squirrel,Sciuridae,meat,Rodents
Turkey,Meleagris gallopavo,meat,Poultry
Cattle,Bos taurus,meat,Bovines
Deer,Cervidae,meat,Venison
squirrel,Urocitellus parryii,meat,Rodents
Rabbit,Leporidae,meat,Lagomorphs
goat,Capra aegagrus hircus,meat,Caprae
Beefalo,Bos taurus X Bison bison,meat,Bovines
Antelope,Artiodactyla,meat,Venison
pig,Sus scrofa domestica,meat,Swine
owl,Bubo virginianus,meat,Poultry
Quail,Phasianidae,meat,Poultry
swan,Anatidae,meat,Poultry
duck,Anatidae,meat,Poultry
goose,Anatidae,meat,Poultry
Anatidae,Anatidae,meat,Poultry
hare,Lepus timidus,meat,Lagomorphs
ptarmigan,Lagopus muta,meat,Poultry
Dove,Columbidae,meat,Poultry
Pigeon,Columbidae,meat,Poultry
Columbidae ,Columbidae,meat,Poultry
Abalone,Haliotis,fish,Mollusks
Agar,Eucheuma,fish,Seaweed
crab,Paralithodes camtschaticus,fish,Crustaceans
herring,Clupea harengus harengus,fish,fish
mackerel,Scomber scombrus,fish,fish
comber,Serranus scriba,fish,fish
pollock,Pollachius pollachius,fish,fish
wolffish,Anarhichas lupus,fish,fish
bass,Morone saxatilis,fish,fish
whale,Delphinapterus leucas,fish,Cetaceans
blackfish,Dallia pectoralis,fish,fish
crab,Callinectes sapidus,fish,Crustaceans
mussel,Mytilus edulis,fish,Mollusks
tuna,Thunnus thynnus,fish,fish
Bluefish,Pomatomus saltatrix,fish,fish
Burbot,Lota lota,fish,fish
butterfish,Peprilus triacanthus,fish,fish
carp,Cyprinus carpio,fish,fish
catfish,Ictalurus punctatus,fish,fish
Cisco,Coregonus artedi,fish,fish
cockle,Clinocardium nuttallii,fish,Mollusks
cod,Gadus macrocephalus,fish,fish
octopus,Octopus vulgaris,fish,Mollusks
croaker,undulatus,fish,fish
Cusk,Brosme brosme,fish,fish
Cuttlefish,Sepiidae,fish,Mollusks
Devilfish,Myoxocephalus,fish,fish
Dolphin ,Coryphaena hippurus,fish,fish
Freshwater,Aplodinotus grunniens,fish,fish
oyster,Crassostrea virginica,fish,Mollusks
eel,Anguilla,fish,fish
anchovy,Engraulis encrasicolus,fish,fish
Turbot,Scophthalmus maximus,fish,fish
halibut,Reinhardtius hippoglossoides,fish,fish
Grouper,Epinephelus,fish,fish
Haddock,Melanogrammus aeglefinus,fish,fish
halibut,Hippoglossus,fish,fish
moss,Chondrus crispus,fish,Seaweed
mackerel,Trachurus symmetricus,fish,fish
Kelp,Laminaria,fish,Seaweed
mackerel,Scomberomorus cavalla,fish,fish
chiton,Katharina tunicata,fish,Mollusks
ling,Molva molva,fish,fish
Lingcod,Ophiodon elongatus,fish,fish
lobster,Homarus americanus,fish,Crustaceans
Milkfish,Chanos chanos,fish,fish
Monkfish,Lophius piscatorius,fish,fish
Striped mullet,Mugil cephalus,fish,fish
pout,Zoarces americanus,fish,fish
Tunicate,Tunicata,fish,Other fish
